Reference,Gene,Peptide,Protein,miR-17/20a_6mer,miR-17/20a_7mer-A1,miR-17/20a_7mer-m8,miR-17/20a_8mer,miR-18a_6mer,miR-18a_7mer-A1,miR-18a_7mer-m8,miR-18a_8mer,miR-19a/b_6mer,miR-19a/b_7mer-A1,miR-19a/b_7mer-m8,miR-19a/b_8mer,miR-92a_6mer,miR-92a_7mer-A1,miR-92a_7mer-m8,miR-92a_8mer
NM_004999,MYO6,9,-0.108052368,3,0,1,0,2,0,1,0,2,1,0,0,1,0,0,0
NM_003761,VAMP8,3,-0.107997381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005470,ABI1,4,-0.10795604,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0
NM_001017962,P4HA1,4,-0.10725203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001556,IKBKB,6,-0.107056134,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BC006231.2,IKBKB,6,-0.107056134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_014802,KIAA0528,5,-0.106780803,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0
NM_004595,SMS,6,-0.106759475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001109891,MAPK3,8,-0.106735857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_016033,FAM82B,3,-0.106615031,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005663,WHSC2,4,-0.106572116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_014786,ARHGEF17,2,-0.106367632,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1
NM_002737,PRKCA,6,-0.10630041,1,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0
NM_006612,KIF1C,3,-0.106174083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_053275,RPLP0,13,-0.105878519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_138364,LOC90826,2,-0.105671374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_014953,DIS3,10,-0.105606108,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0
NM_004886,APBA3,2,-0.105499413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004403,DFNA5,2,-0.105091623,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_003690,PRKRA,3,-0.104868712,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
NM_003916,AP1S2,2,-0.104289831,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005119,THRAP3,3,-0.103959193,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_138959,VANGL1,3,-0.103931741,4,1,2,1,3,0,0,0,3,1,1,0,0,0,0,0
NM_006012,CLPP,12,-0.103871213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_020765,UBR4,32,-0.103565574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_020745,AARS2,5,-0.103489101,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
NM_003335,UBA7,2,-0.10330564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_012197,RABGAP1,7,-0.103192812,1,0,1,0,3,0,1,0,1,1,1,1,0,0,0,0
NM_207115,ZNF580,2,-0.103028386,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_005040,PRCP,6,-0.102781314,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
NM_020117,LARS,16,-0.102649124,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
NM_002070,GNAI2,2,-0.102475939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_024591,CHMP6,4,-0.102320924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_006224,PITPNA,7,-0.102078298,3,1,1,0,2,0,0,0,1,0,0,0,1,1,1,1
NM_005915,MCM6,7,-0.101945838,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
NM_018074,CCDC94,4,-0.101692455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_020812,DOCK6,3,-0.100694109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_014285,EXOSC2,4,-0.10023319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_000969,RPL5,49,-0.100119815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_000158,GBE1,4,-0.099660113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004475,FLOT2,3,-0.099620177,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NM_198335,GANAB,32,-0.099349107,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NM_006077,CBARA1,2,-0.099013551,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
NM_018467,USE1,2,-0.098596271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_201997,SF1,8,-0.098555697,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NM_004630,SF1,8,-0.098555697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004012,DMD,3,-0.098466989,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NM_004019,DMD,3,-0.098466989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005914,MCM4,7,-0.098464319,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004193,GBF1,26,-0.098452898,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005901,SMAD2,2,-0.098089368,4,0,0,0,3,1,1,0,1,0,1,0,1,1,0,0
NM_001660,ARF4,20,-0.098025807,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NM_003610,RAE1,7,-0.098020277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_014028,OSTM1,5,-0.098018227,3,1,2,1,1,0,1,0,0,0,0,0,1,0,0,0
NM_015382,HECTD1,8,-0.09781341,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
NM_012463,ATP6V0A2,4,-0.097622198,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0
NM_001431,EPB41L2,12,-0.097621629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_021975,RELA,4,-0.097609761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_020664,DECR2,9,-0.097106807,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_015545,PTCD1,2,-0.097097424,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
NM_017654,SAMD9,7,-0.097054089,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
NM_170711,DAZAP1,3,-0.096583576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005717,ARPC5,11,-0.096541492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002053,GBP1,11,-0.096272142,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
NM_014008,CCDC22,5,-0.095827717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005648,TCEB1,12,-0.095807077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001918,DBT,6,-0.095517298,9,0,3,0,4,1,1,1,4,2,1,1,2,0,1,0
NM_033001,GTF2I,13,-0.094756182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001514,GTF2B,3,-0.094617667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_017825,ADPRHL2,8,-0.094308301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_015000,STK38L,4,-0.093507258,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_005589,ALDH6A1,10,-0.093071624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_003589,CUL4A,3,-0.092664093,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
NM_001068,TOP2B,5,-0.092177375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001003962,CAPNS1,29,-0.092083007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001006936,TCEAL4,3,-0.091450802,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NM_203346,HDLBP,18,-0.090669084,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0
NM_005911,MAT2A,3,-0.090580212,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
NM_017794,KIAA1797,8,-0.090358607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001104631,PDE4D,3,-0.089969928,0,0,0,0,3,2,1,1,2,1,0,0,4,2,0,0
NM_031431,COG3,2,-0.089633729,2,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
NM_002264,KPNA1,3,-0.089201205,3,0,0,0,2,0,0,0,1,1,0,0,2,0,0,0
NM_002269,KPNA5,3,-0.089201205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_152905,NEDD1,5,-0.08846517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_015698,GPKOW,6,-0.0883502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001042734,SEC24B,11,-0.088014179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005721,ACTR3,8,-0.087807506,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
NM_021239,RBM25,3,-0.087723812,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
NM_000430,PAFAH1B1,7,-0.087644856,2,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0
NM_024658,IPO4,18,-0.087611322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005566,LDHA,54,-0.087251248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_018052,VAC14,7,-0.087176446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_000110,DPYD,2,-0.087122361,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
NM_020528,PCBP3,13,-0.086895406,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_020857,VPS18,3,-0.08687064,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0
NM_001014432,AKT1,6,-0.085705017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004969,IDE,11,-0.085457489,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002018,FLII,8,-0.085420934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_006064,RRAGB,4,-0.08539046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002707,PPM1G,9,-0.085188035,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NM_024408,NOTCH2,13,-0.084650422,3,0,0,0,2,1,1,1,1,0,1,0,0,0,0,0
NM_002778,PSAP,8,-0.084606734,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
NM_001014842,TM9SF1,2,-0.084545584,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_006405,TM9SF1,2,-0.084545584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_016118,NUB1,4,-0.084397996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK026433.1,NUB1,4,-0.084397996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004285,H6PD,6,-0.0840316,3,2,0,0,2,0,1,0,2,0,0,0,0,0,0,0
NM_002948,RPL15,4,-0.083864549,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
NM_015323,KIAA0776,4,-0.083809369,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NM_183237,RNF7,2,-0.083550988,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_170750,PSMD10,3,-0.083214775,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_016395,PTPLAD1,5,-0.08318219,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_020640,DCUN1D1,6,-0.08311766,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
NM_031291,SLC25A31,2,-0.082273838,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
NM_017907,C11ORF59,4,-0.082023839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001085461,CTNND1,11,-0.081941561,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NM_005243,EWSR1,9,-0.081913344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_152862,ARPC2,13,-0.081751552,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
NM_002436,MPP1,3,-0.081401146,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
NM_006402,HBXIP,9,-0.080959677,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_000987,RPL26,8,-0.080767322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001040648,RCP9,2,-0.080667902,4,0,2,0,1,1,0,0,4,1,1,1,0,0,0,0
NM_003016,SFRS2,20,-0.080514829,1,1,1,1,3,0,0,0,1,0,0,0,1,1,0,0
NM_002967,SAFB,2,-0.079955238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_019045,WDR44,6,-0.079904575,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
AK127556.1,WDR44,6,-0.079904575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_003750,EIF3A,38,-0.079848871,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_002907,RECQL,18,-0.079812851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005742,PDIA6,2,-0.079745448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_013265,C11ORF2,5,-0.07892932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_003756,EIF3H,5,-0.078550229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_016308,CMPK1,2,-0.077810393,1,0,1,0,1,1,0,0,2,1,0,0,0,0,0,0
NM_003799,RNMT,4,-0.077754403,2,0,1,0,3,0,0,0,2,1,1,0,3,0,0,0
NM_006832,FERMT2,11,-0.077276722,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_025054,VCPIP1,8,-0.076238315,0,0,0,0,0,0,0,0,2,1,1,1,2,0,0,0
NM_001115156,GDI2,26,-0.076171064,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NM_014706,SART3,11,-0.076036755,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001779,CD58,3,-0.076018744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_021130,PPIA,112,-0.076005872,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
NM_018704,CTTNBP2NL,4,-0.075630973,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
NM_014520,MYBBP1A,15,-0.075311857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001111307,PDE4A,2,-0.07507617,4,1,0,0,3,0,1,0,1,1,1,1,0,0,0,0
NM_032449,CC2D1B,3,-0.075070694,4,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0
NM_015599,PGM3,6,-0.075004675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_177424,STX12,2,-0.074833029,1,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0
NM_006515,SETMAR,2,-0.074609121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004521,KIF5B,33,-0.074261316,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
NM_020170,NCLN,14,-0.07417243,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_006246,PPP2R5E,3,-0.073747233,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0
NM_001981,EPS15,4,-0.073594461,0,0,0,0,1,0,0,0,3,1,2,1,1,0,0,0
AK129853.1,EPS15,4,-0.073594461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005016,PCBP2,13,-0.073544689,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_000319,PEX5,2,-0.073418879,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
NM_001113491,SEPT9,15,-0.073302972,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_007104,RPL10A,5,-0.073082689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_012073,CCT5,37,-0.072979978,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
NM_004890,SPAG7,2,-0.072952877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_018890,RAC1,6,-0.072615354,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NM_016072,GOLT1B,2,-0.07208486,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0
NM_198977,ARHGEF1,13,-0.071775797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK055920.1,RPL34,3,-0.071459887,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NM_000995,RPL34,3,-0.071459887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_012203,GRHPR,2,-0.070979152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001402,EEF1A1,123,-0.070384594,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
NM_020531,C20ORF3,10,-0.070366472,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
NM_001001485,ATP2C1,10,-0.069926937,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0
NM_014382,ATP2C1,10,-0.069926937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001002019,PUS1,3,-0.069561173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002444,MSN,41,-0.069248246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005465,AKT3,4,-0.069127434,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0
NM_181690,AKT3,4,-0.069127434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_025072,PTGES2,2,-0.069108961,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
NM_018237,CCAR1,6,-0.069084284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_007165,SF3A2,4,-0.069003773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_018034,WDR70,5,-0.068711112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_147133,NFX1,2,-0.068210782,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NM_002504,NFX1,2,-0.068210782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002224,ITPR3,15,-0.06807016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_016442,ERAP1,21,-0.067506389,2,1,2,1,0,0,0,0,2,1,0,0,1,1,0,0
NM_001040458,ERAP1,21,-0.067506389,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005719,ARPC3,11,-0.067334579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_006110,CD2BP2,2,-0.067294024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001016,RPS12,2,-0.067059009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002952,RPS2,22,-0.067057163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_144710,SEPT10,10,-0.06704179,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
NM_022771,TBC1D15,5,-0.066978345,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_006594,AP4B1,2,-0.066587132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002956,CLIP1,14,-0.06615234,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0
NM_001902,CTH,2,-0.066120611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_015700,NFU1,4,-0.06608109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_017706,WDR55,7,-0.065824084,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
NM_001002812,PDE4DIP,7,-0.065622663,2,0,0,0,3,0,0,0,1,1,1,1,0,0,0,0
NM_014644,PDE4DIP,7,-0.065622663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_022359,PDE4DIP,7,-0.065622663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001025205,AP2M1,13,-0.06541588,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
NM_198828,MAST4,2,-0.065219822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_015183,MAST4,2,-0.065219822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK057601.1,MAST4,2,-0.065219822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004998,MYO1E,8,-0.065067467,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_145690,YWHAZ,72,-0.064738048,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_024838,THNSL1,7,-0.064538433,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
NM_018697,LANCL2,6,-0.064393696,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0
NM_020236,MRPL1,4,-0.064138631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_015358,MORC3,5,-0.06409578,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
NM_012255,XRN2,5,-0.064083474,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
NM_004873,BAG5,7,-0.06368404,3,2,0,0,2,0,0,0,1,0,1,0,1,0,0,0
NM_181652,PRDX5,11,-0.063671268,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
NM_004788,UBE4A,4,-0.063451079,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
NM_002576,PAK1,8,-0.063428186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_178229,IQGAP3,7,-0.063295741,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
NM_021190,PTBP2,5,-0.062842623,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_002913,RFC1,5,-0.062662709,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001077186,MYH14,7,-0.062567797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004911,PDIA4,59,-0.06144292,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_000979,RPL18,40,-0.060985705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_012318,LETM1,10,-0.060963317,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AL133650.1,LETM1,10,-0.060963317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001030007,AP1G1,7,-0.060348629,4,1,1,0,2,0,0,0,4,3,1,0,3,0,1,0
NM_005022,PFN1,121,-0.06031469,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
NM_014712,SETD1A,2,-0.060209516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_181354,OXR1,2,-0.060114604,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
NM_145055,C18ORF25,2,-0.05981746,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0
NM_006755,TALDO1,33,-0.059015784,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_015902,UBR5,7,-0.05878502,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_017816,LYAR,2,-0.058451931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_000968,RPL4,44,-0.057846107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001042548,FEZ2,2,-0.057591904,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_207118,GTF2H5,2,-0.057557355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_145322,OSBPL3,5,-0.057428498,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
NM_005124,NUP153,7,-0.057156677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_016080,GLOD4,9,-0.057064981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001102,ACTN1,48,-0.056903516,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
NM_018947,CYCS,2,-0.056568269,2,0,2,0,2,0,0,0,0,0,0,0,3,0,2,0
NM_016299,HSPA14,3,-0.056502314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_198830,ACLY,52,-0.056498112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_024098,CCDC86,3,-0.056395612,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_002046,GAPDH,137,-0.056391103,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NM_012383,OSTF1,2,-0.055995093,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NM_020466,LYRM2,3,-0.055869638,7,2,1,0,0,0,0,0,2,1,0,0,1,0,0,0
NM_001005336,DNM1,13,-0.05580405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_015527,TBC1D10B,2,-0.055653866,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
NM_006555,YKT6,3,-0.055250988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_018243,SEPT11,3,-0.054943417,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0
NM_018009,TAPBPL,5,-0.054634777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_015414,RPL36,13,-0.054499405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001008657,TCOF1,11,-0.054473037,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
NM_000356,TCOF1,11,-0.054473037,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_005066,SFPQ,34,-0.054253164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_018449,UBAP2,4,-0.054249762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001228,CASP8,5,-0.05402338,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0
NM_033358,CASP8,5,-0.05402338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_172231,SF4,3,-0.053564207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_006826,YWHAQ,23,-0.05353434,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_006431,CCT2,42,-0.053381026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004859,CLTC,38,-0.053109463,3,1,1,0,0,0,0,0,3,0,2,0,2,1,0,0
NM_002069,GNAI1,4,-0.053008635,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0
NM_006496,GNAI3,4,-0.053008635,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
NM_005272,GNAT2,4,-0.053008635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_144499,GNAT1,4,-0.053008635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002862,PYGB,3,-0.053005308,2,0,0,0,1,0,1,0,2,1,2,1,0,0,0,0
